loai,id,ma,tieu_de,noi_dung,route,tsv,updated_at
dm_he_thong,12ae8cb7-c2ed-40fd-ad8f-ba6fdea2131b,"Máy chính: 104269 (XU4200). Máy dự phòng: 100100, 104268, 104270 (XU4200); 274268 (T6TR); 19712, 20939 (TA-7650), 19739, 21051 (RA-7203)",Hệ thống VHF 121.5 MHz CRA,Máy thu phát VHF thoại không - địa Không,/he-thong/12ae8cb7-c2ed-40fd-ad8f-ba6fdea2131b,"'-7203':21A '-7650':17A '100100':8A '104268':9A '104269':3A '104270':10A '121.5':25A '19712':14A '19739':18A '20939':15A '21051':19A '274268':12A 'chinh':2A 'cra':27A 'dia':34B 'du':6A 'he':22A 'khong':33B,35B 'may':1A,5A,28B 'mhz':26A 'phat':30B 'phong':7A 'ra':20A 't6tr':13A 'ta':16A 'thoai':32B 'thong':23A 'thu':29B 'vhf':24A,31B 'xu4200':4A,11A",2026-07-16 03:53:14.154512+00
dm_he_thong,316b11eb-0b5f-496c-ab31-ffe24eb06049,,Đồng hồ chuẩn thời gian,Nguồn thời gian chuẩn (NTP/GPS) cấp cho các hệ thống,/he-thong/316b11eb-0b5f-496c-ab31-ffe24eb06049,"'cac':13B 'cap':11B 'cho':12B 'chuan':3A,9B 'dong':1A 'gian':5A,8B 'he':14B 'ho':2A 'nguon':6B 'ntp/gps':10B 'thoi':4A,7B 'thong':15B",2026-07-17 09:25:19.425585+00
dm_he_thong,6ddf4f34-92f7-4649-8781-6168ff4faf49,,Mạng thoại sân bay (ACV),Hệ thống thoại thuộc quản lý bên ngoài (ACV),/he-thong/6ddf4f34-92f7-4649-8781-6168ff4faf49,"'acv':5A,14B 'bay':4A 'ben':12B 'he':6B 'ly':11B 'mang':1A 'ngoai':13B 'quan':10B 'san':3A 'thoai':2A,8B 'thong':7B 'thuoc':9B",2026-07-17 09:25:19.425585+00
dm_he_thong,6042b0f8-e55f-48c4-83ac-e583bdb96b5c,14390010,Hệ thống PSR Sơn Trà 2,Hệ thống ra đa giám sát sơ cấp (PSR) 0000 0110 (SIC),/he-thong/6042b0f8-e55f-48c4-83ac-e583bdb96b5c,"'0000':17B '0110':18B '14390010':1A '2':7A 'cap':15B 'da':11B 'giam':12B 'he':2A,8B 'psr':4A,16B 'ra':10B 'sat':13B 'sic':19B 'so':14B 'son':5A 'thong':3A,9B 'tra':6A",2026-07-16 03:53:14.154512+00
dm_he_thong,24edc9ca-96ca-4472-9080-6668cdd7bc1d,Không,Hệ thống SCANSIM Đà Nẵng,Hệ thống huấn luyện giả định không lưu (SIM) Không,/he-thong/24edc9ca-96ca-4472-9080-6668cdd7bc1d,"'da':5A 'dinh':12B 'gia':11B 'he':2A,7B 'huan':9B 'khong':1A,13B,16B 'luu':14B 'luyen':10B 'nang':6A 'scansim':4A 'sim':15B 'thong':3A,8B",2026-07-16 03:53:14.154512+00
dm_he_thong,f87f1213-cb02-4a00-91dd-46be015405df,Tại Phụ lục 1 kèm theo,Hệ thống MAXSIM Đà Nẵng,Hệ thống huấn luyện giả định không lưu (Simulator) Không,/he-thong/f87f1213-cb02-4a00-91dd-46be015405df,"'1':4A 'da':10A 'dinh':17B 'gia':16B 'he':7A,12B 'huan':14B 'kem':5A 'khong':18B,21B 'luc':3A 'luu':19B 'luyen':15B 'maxsim':9A 'nang':11A 'phu':2A 'simulator':20B 'tai':1A 'theo':6A 'thong':8A,13B",2026-07-16 03:53:14.154512+00
dm_he_thong,0f5f4e80-ae06-4210-ac84-b9a5a5909825,VCS 3020X Rel 8.0,Hệ thống VCCS FREQUENTIS CRA,Hệ thống chuyển mạch thoại (VCCS) Không,/he-thong/0f5f4e80-ae06-4210-ac84-b9a5a5909825,"'3020x':2A '8.0':4A 'chuyen':12B 'cra':9A 'frequentis':8A 'he':5A,10B 'khong':16B 'mach':13B 'rel':3A 'thoai':14B 'thong':6A,11B 'vccs':7A,15B 'vcs':1A",2026-07-17 07:05:58.26393+00
dm_he_thong,76c379ec-e45d-48b7-b808-27c8ecfca5c0,Máy chính: 037; Máy dự phòng: 034,Hệ thống ghi âm THA,Ghi âm Không,/he-thong/76c379ec-e45d-48b7-b808-27c8ecfca5c0,"'034':7A '037':3A 'am':11A,14B 'chinh':2A 'du':5A 'ghi':10A,13B 'he':8A 'khong':15B 'may':1A,4A 'phong':6A 'tha':12A 'thong':9A",2026-07-16 03:53:14.154512+00
dm_he_thong,6d01c5d0-9b28-4122-bab7-184cce08bbb6,,Hệ thống VCCS,Voice Communication Control System (pilot),/he-thong/6d01c5d0-9b28-4122-bab7-184cce08bbb6,'communication':5B 'control':6B 'he':1A 'pilot':8B 'system':7B 'thong':2A 'vccs':3A 'voice':4B,2026-07-17 07:20:00.018497+00
dm_he_thong,8b1b85e4-de60-436d-bb4a-052a4ca1d056,,Hệ thống ghi âm,"Hệ thống ghi âm; tuổi thọ thiết kế 10 năm theo bảng nguồn. Nguồn chỉ ghi hạn giấy phép “01/2025”, không đủ ngày để nhập Hạn GP.",/he-thong/8b1b85e4-de60-436d-bb4a-052a4ca1d056,"'01/2025':24B '10':13B 'am':4A,8B 'bang':16B 'chi':19B 'de':28B 'du':26B 'ghi':3A,7B,20B 'giay':22B 'gp':31B 'han':21B,30B 'he':1A,5B 'ke':12B 'khong':25B 'nam':14B 'ngay':27B 'nguon':17B,18B 'nhap':29B 'phep':23B 'theo':15B 'thiet':11B 'tho':10B 'thong':2A,6B 'tuoi':9B",2026-07-16 03:53:14.154512+00
dm_he_thong,2ff61646-a8e8-40ac-a328-9671e72ea0d5,"Máy chính: 105877 (SU4200), 105825 (EU4200C). Máy dự phòng: 105878, 105880 (SU4200), 105822, 105823 (EU4200C); 20938 (TA-7650), 21050 (RA-7203); 14248 (IC-A200)",Hệ thống VHF 118.25 MHz CLA,Máy thu phát VHF thoại không - địa Không,/he-thong/2ff61646-a8e8-40ac-a328-9671e72ea0d5,"'-7203':21A '-7650':18A '105822':13A '105823':14A '105825':5A '105877':3A '105878':10A '105880':11A '118.25':29A '14248':22A '20938':16A '21050':19A 'a200':25A 'chinh':2A 'cla':31A 'dia':38B 'du':8A 'eu4200c':6A,15A 'he':26A 'ic':24A 'ic-a200':23A 'khong':37B,39B 'may':1A,7A,32B 'mhz':30A 'phat':34B 'phong':9A 'ra':20A 'su4200':4A,12A 'ta':17A 'thoai':36B 'thong':27A 'thu':33B 'vhf':28A,35B",2026-07-16 03:53:14.154512+00
dm_he_thong,688f3252-355d-48f5-93c2-813d7a9ce198,"Máy chính: 105879 (SU4200), 105824 (EU4200C). Máy dự phòng: 105878, 105880 (SU4200), 105822, 105823 (EU4200C); 20938 (TA-7650), 21050 (RA-7203); 14248 (IC-A200)",Hệ thống VHF 121.5 MHz CLA,Máy thu phát VHF thoại không - địa Không,/he-thong/688f3252-355d-48f5-93c2-813d7a9ce198,"'-7203':21A '-7650':18A '105822':13A '105823':14A '105824':5A '105878':10A '105879':3A '105880':11A '121.5':29A '14248':22A '20938':16A '21050':19A 'a200':25A 'chinh':2A 'cla':31A 'dia':38B 'du':8A 'eu4200c':6A,15A 'he':26A 'ic':24A 'ic-a200':23A 'khong':37B,39B 'may':1A,7A,32B 'mhz':30A 'phat':34B 'phong':9A 'ra':20A 'su4200':4A,12A 'ta':17A 'thoai':36B 'thong':27A 'thu':33B 'vhf':28A,35B",2026-07-16 03:53:14.154512+00
dm_he_thong,cc8602d3-1b8b-47c2-8423-f6102cdf80ae,"Máy chính: 6U11312 (T6T), 6U16868 (T6R); Máy dự phòng: 6U11314 (T6T), 6U16875 (T6R); 100439 (S5200VT), 100159 (EU4200C)",Hệ thống VHF 123.3 MHz CLA,Máy thu phát VHF thoại không - địa Không,/he-thong/cc8602d3-1b8b-47c2-8423-f6102cdf80ae,"'100159':16A '100439':14A '123.3':21A '6u11312':3A '6u11314':10A '6u16868':5A '6u16875':12A 'chinh':2A 'cla':23A 'dia':30B 'du':8A 'eu4200c':17A 'he':18A 'khong':29B,31B 'may':1A,7A,24B 'mhz':22A 'phat':26B 'phong':9A 's5200vt':15A 't6r':6A,13A 't6t':4A,11A 'thoai':28B 'thong':19A 'thu':25B 'vhf':20A,27B",2026-07-16 03:53:14.154512+00
dm_he_thong,f1857ffb-e969-465d-b690-c958b1950afc,"Máy chính: 6U11305 (T6T), 6U16861 (T6R). Máy dự phòng: 6U11310 (T6T), 6U16867 (T6R)",Hệ thống VHF 124.55 MHz CLA,Máy thu phát VHF thoại không - địa Không,/he-thong/f1857ffb-e969-465d-b690-c958b1950afc,"'124.55':17A '6u11305':3A '6u11310':10A '6u16861':5A '6u16867':12A 'chinh':2A 'cla':19A 'dia':26B 'du':8A 'he':14A 'khong':25B,27B 'may':1A,7A,20B 'mhz':18A 'phat':22B 'phong':9A 't6r':6A,13A 't6t':4A,11A 'thoai':24B 'thong':15A 'thu':21B 'vhf':16A,23B",2026-07-16 03:53:14.154512+00
dm_he_thong,4a7558f6-cf8d-44ef-8273-f1a431844b28,"Máy chính: 173711 (T6T), 173702 (T6R); Máy dự phòng: 173710 (T6T), 173703 (T6R)",Hệ thống VHF 121.5 MHz ACC CLA,Máy thu phát VHF thoại không - địa Không,/he-thong/4a7558f6-cf8d-44ef-8273-f1a431844b28,"'121.5':17A '173702':5A '173703':12A '173710':10A '173711':3A 'acc':19A 'chinh':2A 'cla':20A 'dia':27B 'du':8A 'he':14A 'khong':26B,28B 'may':1A,7A,21B 'mhz':18A 'phat':23B 'phong':9A 't6r':6A,13A 't6t':4A,11A 'thoai':25B 'thong':15A 'thu':22B 'vhf':16A,24B",2026-07-16 03:53:14.154512+00
dm_he_thong,fc891ab6-c9f2-4508-81bd-1db46eb70aaf,Máy chính: 049002-401228; Máy dự phòng: 033,Hệ thống ghi âm CLA,Ghi âm Không,/he-thong/fc891ab6-c9f2-4508-81bd-1db46eb70aaf,"'-401228':4A '033':8A '049002':3A 'am':12A,15B 'chinh':2A 'cla':13A 'du':6A 'ghi':11A,14B 'he':9A 'khong':16B 'may':1A,5A 'phong':7A 'thong':10A",2026-07-16 03:53:14.154512+00
trang,so-do-he-thong,,Sơ đồ hệ thống,Network overview FigJam,/so-do,'do':2A 'figjam':7B 'he':3A 'mindmap':8B 'network':5B 'overview':6B 'so':1A 'thong':4A,2026-07-14 20:55:06.470528+00
dm_he_thong,fbad1875-5a3c-41cd-b5dd-81c5962c702b,,Hệ thống VHF,Hệ thống liên lạc thoại VHF (pilot),/he-thong/fbad1875-5a3c-41cd-b5dd-81c5962c702b,"'he':1A,4B 'lac':7B 'lien':6B 'pilot':10B 'thoai':8B 'thong':2A,5B 'vhf':3A,9B",2026-07-17 07:20:00.018497+00
dm_he_thong,471b378d-483c-4b6d-bb60-93cf31d813d8,,Hệ thống SSR Quy Nhơn,"",/he-thong/471b378d-483c-4b6d-bb60-93cf31d813d8,'he':1A 'nhon':5A 'quy':4A 'ssr':3A 'thong':2A,2026-07-17 09:25:19.425585+00
dm_he_thong,1048831c-985f-452d-a1ea-8e832d6eb690,Gió WindObserver (GILL): 2302004; Khí áp PTB 330: V0821322; Nhiệt kế WQG-11: 50 và 57,Thiết bị quan trắc khí tượng thông dụng Chu Lai,"Thiết bị đo đạc quan trắc thông dụng (đo nhiệt độ, độ ẩm, đo gió hiển thị số và khí áp hiển thị số) Không áp dụng",/he-thong/1048831c-985f-452d-a1ea-8e832d6eb690,"'-11':13A '2302004':4A '330':8A '50':14A '57':16A 'am':39B 'ap':6A,47B,52B 'bi':18A,28B 'chu':25A 'dac':30B 'do':29B,35B,37B,38B,40B 'dung':24A,34B,53B 'gill':3A 'gio':1A,41B 'hien':42B,48B 'ke':11A 'khi':5A,21A,46B 'khong':51B 'lai':26A 'nhiet':10A,36B 'ptb':7A 'quan':19A,31B 'so':44B,50B 'thi':43B,49B 'thiet':17A,27B 'thong':23A,33B 'trac':20A,32B 'tuong':22A 'v0821322':9A 'va':15A,45B 'windobserver':2A 'wqg':12A",2026-07-16 03:53:14.154512+00
dm_he_thong,84d8fc04-de52-4ea1-b9fb-21d080b27ae5,Máy chính: 002; Máy dự phòng: 003,Hệ thống ghi âm CRA,Thiết bị ghi âm Không,/he-thong/84d8fc04-de52-4ea1-b9fb-21d080b27ae5,"'002':3A '003':7A 'am':11A,16B 'bi':14B 'chinh':2A 'cra':12A 'du':5A 'ghi':10A,15B 'he':8A 'khong':17B 'may':1A,4A 'phong':6A 'thiet':13B 'thong':9A",2026-07-16 03:53:14.154512+00
dm_he_thong,6796d9c4-efc7-400f-84f4-ac0e804526d8,Máy chính: 001; máy dự phòng: 002,Hệ thống ghi âm ghi hình CRA,Ghi âm và ghi hình Không,/he-thong/6796d9c4-efc7-400f-84f4-ac0e804526d8,"'001':3A '002':7A 'am':11A,16B 'chinh':2A 'cra':14A 'du':5A 'ghi':10A,12A,15B,18B 'he':8A 'hinh':13A,19B 'khong':20B 'may':1A,4A 'phong':6A 'thong':9A 'va':17B",2026-07-16 03:53:14.154512+00
dm_he_thong,5ae20f2b-30dc-409c-95db-68b98b79c94e,BJQ8B2S; CJQ8B2S,Hệ thống AWOS Optimet Cam Ranh,"Bổ sung từ PL1.  Danh mục thiết bị CRA.xlsx, sheet CRA_N1, dòng 98. Hệ thống quan trắc thời tiết tự động OPTIMET Không áp dụng",/he-thong/5ae20f2b-30dc-409c-95db-68b98b79c94e,"'98':22B 'ap':33B 'awos':5A 'bi':16B 'bjq8b2s':1A 'bo':9B 'cam':7A 'cjq8b2s':2A 'cra':19B 'cra.xlsx':17B 'danh':13B 'dong':21B,30B 'dung':34B 'he':3A,23B 'khong':32B 'muc':14B 'n1':20B 'optimet':6A,31B 'pl1':12B 'quan':25B 'ranh':8A 'sheet':18B 'sung':10B 'thiet':15B 'thoi':27B 'thong':4A,24B 'tiet':28B 'trac':26B 'tu':11B,29B",2026-07-16 03:53:14.154512+00
dm_he_thong,a13f3116-f74d-4435-b248-5b458d9fead4,9S7KB94; 7PKXW84,Hệ thống AWOS AVIMET Cam Ranh,Hệ thống quan trắc thời tiết tự động AVIMET Không áp dụng,/he-thong/a13f3116-f74d-4435-b248-5b458d9fead4,"'7pkxw84':2A '9s7kb94':1A 'ap':19B 'avimet':6A,17B 'awos':5A 'cam':7A 'dong':16B 'dung':20B 'he':3A,9B 'khong':18B 'quan':11B 'ranh':8A 'thoi':13B 'thong':4A,10B 'tiet':14B 'trac':12B 'tu':15B",2026-07-16 03:53:14.154512+00
dm_he_thong,d7005685-24f9-45d4-bcce-f24d9962cf97,Gió WindObserver (GILL): 2302007; Khí áp PTB 330: V0821325,Thiết bị quan trắc khí tượng thông dụng Cam Ranh,Thiết bị đo đạc quan trắc thông dụng (đo gió hiển thị số và khí áp hiển thị số) Không áp dụng,/he-thong/d7005685-24f9-45d4-bcce-f24d9962cf97,"'2302007':4A '330':8A 'ap':6A,35B,40B 'bi':11A,21B 'cam':18A 'dac':23B 'do':22B,28B 'dung':17A,27B,41B 'gill':3A 'gio':1A,29B 'hien':30B,36B 'khi':5A,14A,34B 'khong':39B 'ptb':7A 'quan':12A,24B 'ranh':19A 'so':32B,38B 'thi':31B,37B 'thiet':10A,20B 'thong':16A,26B 'trac':13A,25B 'tuong':15A 'v0821325':9A 'va':33B 'windobserver':2A",2026-07-16 03:53:14.154512+00
dm_he_thong,bc31dd94-29dd-488d-b4f4-a1238f70c857,"Máy chính: 00791 (TA-7625), 00817 (RA-7203); Máy dự phòng: 00836 (TA-7625), 00814 (RA-7203); 1058xx (SU4200/EU4200C)",Hệ thống VHF 118.35 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/bc31dd94-29dd-488d-b4f4-a1238f70c857,"'-7203':8A,17A '-7625':5A,14A '00791':3A '00814':15A '00817':6A '00836':12A '1058xx':18A '118.35':23A 'chinh':2A 'dan':25A 'dia':32B 'du':10A 'he':20A 'khong':31B,33B 'may':1A,9A,26B 'mhz':24A 'phat':28B 'phong':11A 'ra':7A,16A 'su4200/eu4200c':19A 'ta':4A,13A 'thoai':30B 'thong':21A 'thu':27B 'vhf':22A,29B",2026-07-16 03:53:14.154512+00
dm_he_thong,f15adfa7-b2c7-4747-b0bd-9cfa10394ac4,"Máy chính: 100437 (S5200VT), 100739 (S5200VR); Máy dự phòng: 105855, 105858 (SU4200), 105802, 105805 (EU4200C)",Hệ thống VHF 118.05 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/f15adfa7-b2c7-4747-b0bd-9cfa10394ac4,"'100437':3A '100739':5A '105802':13A '105805':14A '105855':10A '105858':11A '118.05':19A 'chinh':2A 'dan':21A 'dia':28B 'du':8A 'eu4200c':15A 'he':16A 'khong':27B,29B 'may':1A,7A,22B 'mhz':20A 'phat':24B 'phong':9A 's5200vr':6A 's5200vt':4A 'su4200':12A 'thoai':26B 'thong':17A 'thu':23B 'vhf':18A,25B",2026-07-16 03:53:14.154512+00
dm_he_thong,8a8e370a-fd38-4a5b-97a3-13b54178e74c,"Máy chính: 01162 (TA-7650), 00884 (RA-7203); Máy dự phòng: 00901, 6134, 11324, 11321 (TA-7650) và các máy thu/phát dự phòng",Hệ thống VHF 125.3 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/8a8e370a-fd38-4a5b-97a3-13b54178e74c,"'-7203':8A '-7650':5A,17A '00884':6A '00901':12A '01162':3A '11321':15A '11324':14A '125.3':27A '6134':13A 'cac':19A 'chinh':2A 'dan':29A 'dia':36B 'du':10A,22A 'he':24A 'khong':35B,37B 'may':1A,9A,20A,30B 'mhz':28A 'phat':32B 'phong':11A,23A 'ra':7A 'ta':4A,16A 'thoai':34B 'thong':25A 'thu':31B 'thu/phat':21A 'va':18A 'vhf':26A,33B",2026-07-16 03:53:14.154512+00
dm_he_thong,64e6ccdc-ae7d-4e06-80e4-c0f6a7a70346,"Máy chính: 105870 (SU4200); 105817 (EU4200C); Máy dự phòng: 105866, 105856, 105857, 105860…",Hệ thống VHF 120.45 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/64e6ccdc-ae7d-4e06-80e4-c0f6a7a70346,"'105817':5A '105856':11A '105857':12A '105860':13A '105866':10A '105870':3A '120.45':17A 'chinh':2A 'dan':19A 'dia':26B 'du':8A 'eu4200c':6A 'he':14A 'khong':25B,27B 'may':1A,7A,20B 'mhz':18A 'phat':22B 'phong':9A 'su4200':4A 'thoai':24B 'thong':15A 'thu':21B 'vhf':16A,23B",2026-07-16 03:53:14.154512+00
dm_he_thong,537ab6d4-f60f-4495-b4a0-9b3d3a3caf51,"Máy chính: 105871 (SU4200), 105816 (EU4200C); Máy dự phòng: 105872, 105859, 105860…",Hệ thống VHF 125.45 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/537ab6d4-f60f-4495-b4a0-9b3d3a3caf51,"'105816':5A '105859':11A '105860':12A '105871':3A '105872':10A '125.45':16A 'chinh':2A 'dan':18A 'dia':25B 'du':8A 'eu4200c':6A 'he':13A 'khong':24B,26B 'may':1A,7A,19B 'mhz':17A 'phat':21B 'phong':9A 'su4200':4A 'thoai':23B 'thong':14A 'thu':20B 'vhf':15A,22B",2026-07-16 03:53:14.154512+00
dm_he_thong,b0668377-a642-432b-bf11-d54e738b91ed,"Máy chính: 00837 (TA-7625), 00816 (RA-7203); Máy dự phòng: 00790 (TA-7625), 6134 (TA-7650)…",Hệ thống VHF 121.5 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/b0668377-a642-432b-bf11-d54e738b91ed,"'-7203':8A '-7625':5A,14A '-7650':17A '00790':12A '00816':6A '00837':3A '121.5':21A '6134':15A 'chinh':2A 'dan':23A 'dia':30B 'du':10A 'he':18A 'khong':29B,31B 'may':1A,9A,24B 'mhz':22A 'phat':26B 'phong':11A 'ra':7A 'ta':4A,13A,16A 'thoai':28B 'thong':19A 'thu':25B 'vhf':20A,27B",2026-07-16 03:53:14.154512+00
dm_he_thong,bbce7c36-88e7-4b62-a983-f9fabe61eb04,"Máy chính: 106629 (SU4200); 106539 (EU4200C); Máy dự phòng: 106626, 106627, 105862, 105858…",Hệ thống VHF 121.6 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/bbce7c36-88e7-4b62-a983-f9fabe61eb04,"'105858':13A '105862':12A '106539':5A '106626':10A '106627':11A '106629':3A '121.6':17A 'chinh':2A 'dan':19A 'dia':26B 'du':8A 'eu4200c':6A 'he':14A 'khong':25B,27B 'may':1A,7A,20B 'mhz':18A 'phat':22B 'phong':9A 'su4200':4A 'thoai':24B 'thong':15A 'thu':21B 'vhf':16A,23B",2026-07-16 03:53:14.154512+00
dm_he_thong,987abb41-d80b-48cb-bf7b-a97bf0971ac6,"Máy chính: 106628 (SU4200); 106540 (EU4200C); Máy dự phòng: 106626, 106627, 105862, 105858…",Hệ thống VHF 121.9 MHz DAN,Máy thu phát VHF thoại không - địa Không,/he-thong/987abb41-d80b-48cb-bf7b-a97bf0971ac6,"'105858':13A '105862':12A '106540':5A '106626':10A '106627':11A '106628':3A '121.9':17A 'chinh':2A 'dan':19A 'dia':26B 'du':8A 'eu4200c':6A 'he':14A 'khong':25B,27B 'may':1A,7A,20B 'mhz':18A 'phat':22B 'phong':9A 'su4200':4A 'thoai':24B 'thong':15A 'thu':21B 'vhf':16A,23B",2026-07-16 03:53:14.154512+00
